Country,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,852","48,246","65,534","83,216","108,238","126,525","148,623","171,581","176,955","146,288","124,897","139,806","151,430","139,706","146,324","145,000","145,000","145,000","145,000"
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"226,439","249,809","262,433","278,081","302,616","337,953","366,571","390,942","413,448","483,290","547,457","554,418","624,188","719,622","803,572","829,500","833,365","911,981","1,060,641","1,076,409","1,106,803","1,108,881","1,111,999","1,092,329","1,104,714","1,205,691","144,593","1,285,132","1,285,918","1,119,747","1,051,863","1,086,038","1,087,808","1,048,958","982,453","900,308","854,176","1,113,372","1,249,716","1,292,591","1,272,799","1,387,264","1,504,807","1,351,391","1,486,533","1,815,995","2,085,483","2,133,845","1,922,837","1,842,470","1,856,298","1,980,306","1,787,219","1,657,598","1,728,449","1,770,735","1,787,642","1,804,993"
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"351,800","351,800","351,800","351,800","351,800","358,500","364,800","376,700","396,000","397,100","377,200","386,000","345,000","376,700","477,900","537,000","565,900","538,500","592,200","587,600","574,600","570,800","667,200","663,800","730,000","879,000","930,000","875,500","920,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000","3,000,000","3,165,860","3,193,348","3,542,595","3,907,252","4,096,281","4,290,018","4,449,668","4,731,454","4,951,499","5,252,981","5,681,450","5,693,219","6,356,100","6,615,394","6,888,946","7,122,669","7,025,495","6,813,935","7,012,328","7,244,163","7,373,420","7,368,672","7,414,160","5,532,577","5,713,730","6,290,731","6,372,022","7,262,402","7,159,069","3,012,049","2,846,763","2,501,923","3,995,051","3,946,634","4,099,497","4,251,837","4,616,183","5,810,665","7,026,448","7,823,068","8,328,353","9,196,411","9,812,964","10,360,413","11,716,989","11,637,181","11,007,746","10,509,584","10,340,389","10,217,292","9,650,146","8,744,354","7,723,594","7,524,191","7,366,173","7,625,206"
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"750,000","800,000","850,000","900,000","950,000","1,000,000","1,050,000","1,100,000","1,150,000","1,200,000","1,250,000","1,300,000","1,350,000","1,400,000","1,438,879","1,440,000","1,440,000","1,440,000","1,440,000","1,457,920","1,508,191","1,590,476","1,583,963","1,614,083","1,548,360","1,188,956","1,291,463","1,416,497","1,485,883","1,539,036","1,464,935","1,244,256","1,037,269","1,026,954","777,181","692,867","709,497","772,084","943,045","1,157,532","1,360,916","1,563,493","1,747,813","1,941,782","2,353,409","2,606,318","2,985,661","2,939,392","2,951,731","2,919,470","2,902,020","2,915,968","2,689,437","2,349,672","1,877,776","1,765,713","1,764,955","1,802,315"
Other ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,941,194","2,967,613","3,190,240","3,389,892","3,531,666","3,677,166","3,731,282","3,886,137","4,036,843","4,210,029","4,592,415","4,681,014","4,775,476","4,644,839","4,761,671","4,587,404","4,678,598","4,225,481","4,425,567","4,536,088","4,492,619","4,643,689","4,639,270","4,433,893","4,371,413","4,462,104","4,430,161","4,491,078","4,516,704","4,866,379","5,098,252","10,601,320","9,669,656","10,202,725","10,423,835","10,931,674","11,945,789","12,066,950","12,211,791","12,995,733","13,067,648","7,867,115","8,319,756","8,444,061","8,709,348","10,160,368","9,190,309","9,214,829","9,204,905","9,200,000","9,300,000","9,400,000","9,500,000","9,600,000","9,600,000","9,600,000","9,600,000","9,600,000"
Australia,,,,,,,,,"25,429","24,291","25,010","33,902","27,991","29,472","28,906","31,080","35,154","40,875","67,351","73,464","70,430","73,390","88,670","80,125","84,505","85,788","78,887","77,659","75,369","82,548","99,393","105,018","114,907","160,943","139,521","133,525","118,486","113,690","126,168","129,452","120,691","131,954","140,980","140,905","136,770","126,913","127,613","141,612","146,500","155,480","161,940","191,438","196,124","204,521","212,399","191,928","179,315","165,139","149,272","156,684","164,455","172,307","178,485","182,100","192,939","204,055","199,583","194,950","189,664","193,713","198,198","202,731","207,663","213,475","203,788","232,472","253,023","278,813","295,615","294,859","280,410","261,714","268,200","285,909","316,065","297,125","285,213","286,301","286,922","294,918","306,335","318,636","321,776","324,083","297,123","238,765","217,171","222,191","241,730","263,635","293,760","318,801","361,329","380,661","408,437","438,845","444,761","410,165","427,582","428,573","429,965","453,113","543,431","537,380","633,543","667,111","745,254","822,665","867,003","932,758","1,002,340","1,023,166","991,625","1,018,938","1,003,263","1,046,205","1,066,326","1,083,683","1,117,824","1,178,451","1,239,296","1,266,218","1,323,499","1,391,972","1,462,732","1,532,328","1,601,024","1,640,878","1,719,782","1,874,274","1,921,633","1,901,979","1,928,876","1,924,339","1,888,520","1,932,188","1,915,412","1,936,016","1,859,028","1,821,438","1,792,084","1,832,014","1,790,996","1,852,857","1,925,546","1,929,616","1,898,939","1,809,631","1,750,371","1,740,462","1,739,384","1,733,950","1,759,879","1,760,213","1,758,991","1,761,742","1,788,740","1,762,590","1,807,397","1,951,334","1,998,507","2,022,261","2,057,741","2,096,263","2,085,701","2,032,961","1,984,039","1,911,585","1,944,889","1,942,930","1,948,893","1,982,543","2,008,062","2,004,283"
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,"2,505",,,"2,408",,,"4,885",,,"15,680",,,,"25,153",,,"24,956",,,,"31,289",,,,,"18,923","18,383","18,222","17,377","17,317","16,386","17,720","18,633","18,288","19,029",,,"18,670",,,"21,851","22,676","24,623","25,794","25,882","27,011","27,481","27,377","29,026","31,668","32,752","32,200","33,282","33,765","34,916",,"40,412","41,253","43,564","43,346","40,302",,,,"55,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146,492","183,446","190,234","206,781","216,958","226,062","237,508","221,457","237,175","242,600","256,341","285,469","294,274","303,677","322,668","335,954","340,891","345,942","367,120","388,479","397,821","420,141","424,231","444,798","425,598","436,376","452,139","419,566","430,363","420,854","422,240","424,766","423,752","421,990","445,075","451,882","429,920","439,869","422,159","415,249","396,301","392,850","397,829","389,957","385,633","283,177","283,417","285,967","275,445","306,342","314,462","313,459","312,888","315,865","309,490","312,205","322,490","306,181","299,348","299,794","279,934","288,811","292,203","291,789","297,842","299,241","302,834"
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"767,826","836,911","922,620","948,961","916,284","975,862","1,006,439","1,041,021","1,002,319","1,090,194","1,096,006","1,123,689","1,169,528","1,226,336","1,273,334","1,300,608","1,368,004","1,417,826","1,435,616","1,518,524","1,609,499","1,729,072","1,822,872","1,915,302","1,964,937","2,019,200","2,008,395","2,048,870","2,019,049","2,107,235","2,117,483","2,123,970","2,109,399","2,133,238","2,133,249","2,093,487","2,088,443","2,100,081","2,154,273","2,157,489","2,142,655","2,106,008","2,075,222","2,009,338","2,012,107","2,081,339","2,303,593","2,282,959","2,287,933","2,371,966","2,402,144","2,376,793","2,405,391","2,432,487","2,248,394","2,246,992","2,301,942","2,307,528","2,395,687","2,405,436","2,409,271","2,398,382","2,418,721","2,378,436","2,380,611","2,412,615","2,405,302","2,390,697","2,391,714"
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,050,000","2,050,000","2,050,000","2,050,000","2,050,000","2,433,000","2,716,000","2,907,000","2,952,000","3,239,000","3,700,000","3,735,000","4,076,000","3,922,000","3,947,000","4,213,000","4,047,000","4,400,000","4,300,000","4,623,000","4,700,000","5,230,000","5,489,000","5,674,000","5,822,000","6,434,000","6,896,000","6,922,000","6,634,000","7,010,000","7,445,000","7,315,000","7,695,000","7,780,000","7,025,000","6,880,000","7,130,000","5,890,000","3,240,000","1,076,000","1,082,000","745,000","618,000","575,000","601,500","570,500","515,000","489,000","454,500","432,600","368,600",,,,,,,,,,,,,,,,,,,"9,310,673","9,360,639","9,523,874","9,626,573","9,322,107","9,483,115","9,519,735","9,318,566","9,421,562","9,782,862","9,830,605","10,350,214","10,748,370","11,136,404","11,687,762","11,882,194","12,289,529","12,610,641","13,059,989","13,621,599","14,101,684","14,540,115","15,093,762","15,748,813","16,700,881","17,156,284","17,574,576","18,130,376","19,012,859","19,957,274","20,418,670","20,863,004","20,974,516","21,099,756","21,451,730","20,891,853","21,253,301","21,445,245","21,471,631","21,373,716","22,094,536","21,528,013","21,795,326","21,570,259","21,652,276","21,600,373","21,854,638","21,950,626","22,244,612","22,735,371","22,810,008","23,283,765","23,535,659","23,370,381","23,648,105","23,520,073","23,976,836","24,242,941","24,530,849","24,222,071","23,774,312","23,616,854","24,073,936","24,070,388","24,002,741","24,201,359","24,086,726","23,915,983","23,584,134"
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"239,858","243,449","247,093","250,791","254,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"242,118","197,034","123,615","169,988","249,147","249,820","236,121","269,221","296,036","350,150","302,696","296,436","313,612","468,335","418,308","274,262","256,463","208,263","214,883","238,485","206,683","222,858","312,160","394,872","395,806","539,516","580,948","516,003","597,871","693,275","913,489","1,132,242","1,195,675","1,308,871","1,254,235","1,324,097","1,456,981","1,397,716","1,347,450","1,053,712","1,133,719","1,256,701","1,241,251","1,459,041","1,547,854","1,638,756","1,748,276","1,879,793","1,825,182","1,816,440","1,833,369","1,817,149","1,772,300","1,736,163","1,725,323","1,635,720","1,912,490","1,963,368"
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"700,000","700,000","665,399","776,886","758,480","692,915","803,387","898,437","832,391","834,347","1,050,919","965,631","1,129,205","1,205,756","1,244,517","1,386,010","1,597,055","2,040,098","2,233,011","2,283,411","2,380,558","2,481,334","2,584,721","2,597,606","2,702,967","3,393,022","3,376,714","3,644,452","6,063,214","6,363,166","7,096,342","6,457,680","6,545,550","6,729,331","8,206,170","8,459,243","8,562,191","8,608,798","9,449,858","9,091,739","9,308,332","9,446,939","9,236,905","9,089,110","9,556,880","10,235,550","10,927,580","11,301,780","11,761,934","12,754,980","13,285,100","13,710,401","13,384,893","13,890,130","13,282,559","12,602,651","12,385,039","12,248,458"
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115,000","115,000","114,801","111,889","196,494","174,609","183,497","174,023","148,672","177,220","225,569","236,457","201,400","206,295","88,631","113,459","167,096","161,322","176,330","210,363","225,646","210,350","195,964","198,875","218,421","228,947","290,284","312,174","330,709","341,651","337,975","368,975","416,710","405,233","544,089","559,369","467,115","455,923","545,460","449,828","455,299","458,256","477,107","493,652","551,618","630,484","663,442","699,914","678,355","703,504","740,244","756,343","803,450","831,960","840,000","844,241","905,261","965,741"
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"861,285","855,809","859,211","1,036,420","1,121,393","1,178,441","1,246,019","1,277,881","1,393,921","1,459,261","1,302,379","1,540,923","1,771,604","2,022,665","2,007,548","1,991,781","2,193,938","2,290,939","2,577,818","2,706,767","2,890,173","2,840,367","2,496,054","2,539,464","2,734,086","2,991,717","3,170,516","3,389,911","3,948,914","3,998,709","4,171,932","4,518,230","4,938,541","4,966,498","5,156,304","5,507,868","5,038,728","5,210,607","5,409,080","5,341,017","5,400,551","5,403,442","5,597,542","5,719,175","5,959,316","6,272,220","6,631,418","6,755,744","6,941,725","7,191,269","7,481,420","7,626,174","7,480,034","7,756,960","7,118,018","7,390,603","7,877,548","8,578,432"
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104,082","63,698","75,831","73,275","78,352","61,754","57,093","76,691","75,544","80,542","98,081","100,909","99,531","111,424","112,764","69,909","83,366","77,205","65,242","85,641","79,104","68,618","49,746","48,119","59,213","68,143","70,180","71,225","73,334","65,875","78,796","91,056","91,543","93,523","95,453","88,141","91,024","91,143","80,682","76,112","66,361","55,863","48,103","61,627","75,849","84,141","91,440","106,329","112,752","110,333","113,963","118,223","116,602","115,556","104,722","98,671","92,682","91,070"
Other LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,726,470","2,752,289","2,865,178","2,927,536","2,813,002","2,822,586","2,781,463","2,920,323","3,228,556","3,555,065","3,487,486","3,619,165","3,692,686","4,044,502","4,237,749","5,105,243","5,356,743","5,607,342","5,434,512","6,458,735","6,807,621","6,729,761","7,224,497","7,199,445","7,214,758","7,879,981","8,923,970","9,184,765","8,225,166","8,629,179","9,416,383","9,002,049","9,784,852","9,769,401","10,033,582","10,157,085","10,016,373","10,150,450","10,295,397","10,311,218","9,611,793","4,924,696","5,074,432","5,240,471","5,668,912","5,890,217","6,203,919","6,207,302","6,110,471","6,200,000","6,300,000","6,400,000","6,500,000","6,600,000","6,600,000","6,600,000","6,600,000","6,600,000"
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,010","67,733","44,374","35,685","37,982","41,867","49,262","52,445","57,347","62,518","64,348","66,250","73,587","64,743","42,034","61,037","63,020","60,921","58,614","60,625","62,665","64,857","47,274","51,562","50,771","49,733","48,536","50,202","48,877","56,864","55,539","64,261","80,604","87,184","105,397","109,011","108,718","108,247","94,663","53,334","45,922","80,503","97,479","120,167","148,830","89,152","85,549","108,792","110,454","101,943","121,857","136,171","135,000","130,000","123,018","131,529","140,369","149,236"
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,987","39,018","34,697","46,392","40,776","49,851","45,908","43,647","53,870","64,691","60,899","62,536","68,245","63,956","72,201","67,774","78,780","69,536","69,198","78,502","108,116","74,660","69,165","74,220","76,695","102,504","120,885","121,657","106,194","96,179","129,984","147,897","101,426","123,046","142,177","114,691","81,524","155,525","125,597","93,575","105,420","112,975","106,234","113,848","116,631","114,251","116,891","130,337","114,449","101,146","97,690","94,155","95,784","87,649","77,254","73,019","69,728","67,988"
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,403","97,989","198,223","168,003","205,717","210,905","192,011","213,749","270,872","310,319","315,276","348,105","420,621","503,397","563,551","567,544","561,087","593,825","698,393","900,499","1,080,700","1,220,506","1,285,115","1,410,596","1,427,121","1,579,323","1,797,415","2,022,431","2,121,683","2,192,899","2,254,357","2,482,210","2,468,169","2,623,997","2,600,096","2,635,800","2,766,478","2,787,280","2,811,866","2,524,272","2,471,398","2,509,237","2,598,831","2,709,832","2,805,158","2,785,712","2,912,138","2,939,060","2,801,302","2,733,814","3,635,707","3,680,077","3,712,749","3,769,590","3,157,723","3,193,147","3,224,598","3,273,798"
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,726","20,827","17,248","22,263","21,899","23,408","24,554","24,643","18,072","20,998","29,197","33,251","37,570","40,082","34,280","31,020","34,296","39,995","39,596","36,713","37,943","37,242","44,653","45,239","47,732","38,980","30,643","43,457","45,742","46,989","44,752","39,992","66,143","77,080","73,974","73,294","86,356","89,944","103,848","119,857","114,924","123,823","128,207","134,211","143,530","149,547","159,006","165,018","170,952","156,362","154,809","156,364","157,859","180,226","202,090","197,130","206,250","224,910"
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,393","82,765","30,680","31,340","36,132","41,085","37,955","39,051","40,218","50,601","89,810","63,244","140,442","124,036","175,683","190,997","218,032","234,791","205,220","222,017","346,340","337,800","367,674","297,546","222,867","214,751","235,534","242,291","264,842","384,595","428,420","508,117","591,690","670,322","752,545","790,840","916,935","850,440","789,852","787,756","783,840","833,645","873,987","915,071","887,584","893,717","946,842","1,037,559","1,043,789","1,008,093","1,024,432","1,089,265","958,822","922,893","908,481","901,022","910,207","996,234"
Other AME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289823,1257632,1307938,1406426,1488412,1606956,1643077,1676169,1805775,2016109,2208375,2366645,2583072,2770935,2760175,2899181,3104643,2863715,3064547,2243992,2236768,2055397,2087914,2075060,2254802,2301980,2337856,2698651,2508725,3280948,3294106,3269693,3356888,3303776,3559674,3511009,3549377,3687879,3847234,3728169,3946757,4108667,4208679,4561677,5026425,5481417,5966107,6505086,7073044,7721743,8210327,6425376,6668501,6500000,6500000,6500000,6500000,6500000
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88,023","88,163","89,589","91,186","93,298","95,601","98,298","101,408","104,685","107,883","110,816","227,176","232,648","238,178","243,769","249,899","256,173","263,037","405,758","695,630","860,913","1,175,113","1,527,085","2,198,813","3,065,069","3,964,075","5,239,374","6,388,985","6,164,421","6,641,703","8,003,824","9,603,661","11,822,833","13,340,856","15,077,038","18,912,408","18,416,783","16,862,237","20,643,924","19,554,001","19,922,903","21,197,423","24,000,000","27,599,897","30,438,176","34,592,857","38,639,058","40,677,158","43,005,092","45,409,662","47,743,768","48,993,587","50,582,152","50,080,922","47,727,098","45,627,100","45,535,667","45,498,557"
Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,583","21,156","22,848","25,129","26,374","20,054","25,820","21,898","26,990","37,961","34,488","32,985","37,566","45,399","49,388","56,094","67,871","71,659","81,103","98,150","128,779","104,655","137,279","125,282","138,526","130,275","156,776","155,811","162,684","165,199","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,440","155,466","151,687","150,775","192,900","149,207","152,455","156,176","160,066","167,980","167,628","168,833","170,799","175,447","183,098"
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,000","54,000","56,000","58,000","60,000","62,000","64,000","66,000","68,000","70,000","72,951","74,823","76,729","78,687","80,841","82,699","84,783","86,931","178,739","91,672","187,093","191,656","195,989","200,712","205,603","210,118","107,601","110,254","225,939","231,454","236,271","241,376","123,381","252,462","258,491","396,872","406,420","416,308","426,445","460,000","485,000","510,000","535,000","567,532","623,712","771,743","909,929","1,000,766","1,157,257","1,305,664","1,502,336","1,624,163","1,807,987","1,982,997","2,155,955","2,296,455","2,301,840","2,425,908"
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,476,814","1,510,438","1,765,083","2,028,919","2,006,274","2,171,010","2,510,072","2,482,057","2,814,606","3,026,259","3,122,711","3,507,340","3,842,778","3,629,759","3,902,166","3,712,246","4,291,222","4,423,100","4,692,145",4532000,4552000,4813000,5028000,4592000,4860000,5062000,5458000,5860000,6321000,6586000,6974000,7081000,6758000,7074000,6938000,6986000,6761000,6783000,6786000,6759000,6779000,6597000,6186000,"6,815,997","6,624,065","6,552,317","6,456,690","6,364,272","6,346,613","6,323,826","6,195,007","6,198,660","6,141,283","6,072,141","6,025,540","5,884,698","5,753,169","5,625,977"
Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,449","6,897","14,076","25,062","43,621","41,235","57,662","47,251","60,554","91,215","115,527","92,803","127,631","159,978","174,547","190,049","242,444","446,468","643,700","582,226","599,863","627,980","710,242","757,339","786,344","796,277","874,794","1,025,360","1,208,655","1,431,110","1,745,626","1,719,065","1,670,812","1,877,706","1,914,815","1,857,603","1,819,484","1,517,416","1,610,761","1,834,628","1,975,641","2,029,478","1,972,293","1,819,734","1,761,013","1,800,461","1,846,476","1,918,065","1,822,050","1,857,770","1,887,580","1,727,510","1,691,160","1,761,820","1,841,880","1,779,570","1,895,650","1,962,160"
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,722","36,253","33,803","32,416","39,045","40,166","39,013","39,052","39,006","36,144","37,442","35,794","48,671","60,816","56,543","64,935","68,942","81,929","99,311","113,826","111,609","122,687","99,415","103,902","108,640","102,973","101,355","111,224","123,879","146,836","143,407","180,935","185,892","196,450","207,477","213,308","240,104","259,231","266,831","145,397","136,089","139,935","140,480","135,672","124,160","124,359","130,185","135,185","141,934","145,694","152,704","158,411","164,229","166,062","166,341","173,724","185,434","197,944"
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121,007","152,679","233,391","232,878","248,549","220,624","290,841","349,155","308,510","361,349","388,359","396,713","374,183","497,888","519,805","627,334","677,180","1,966,106","785,224","553,823","543,621","737,512","977,258","955,484","1,207,766","928,274","1,245,646","841,608","814,418","854,252","788,646","808,335","773,755","756,457","845,452","859,404","882,765","895,295","918,803","980,000","1,040,000","1,100,000","1,130,000","1,172,776","1,245,205","1,323,188","1,404,819","1,442,448","1,450,015","1,679,756","1,428,388","1,480,601","1,523,742","1,571,949","1,616,399","1,877,045","2,159,466","2,381,189"
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,014","21,654","25,749","24,930","27,867","31,434","34,414","34,275","34,608","39,782","43,650","40,414","44,751","45,044","45,252","46,241","43,448","41,488","38,907","41,869","43,701","46,955","46,966","46,774","46,724","45,644","46,319","48,501","49,857","51,585","61,519","68,239","68,164","73,522","77,127","79,054","87,154","89,155","89,645","90,884","87,000","84,000","80,663","73,279","77,786","79,661","85,710","89,760","96,545","103,447","109,043","114,092","114,833","117,247","119,520","122,564","121,981","123,835"
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000","12,000","15,000","25,000","25,000","24,318","28,976","37,777","54,160","68,044","77,538","89,235","125,289","89,484","104,504","114,117","162,159","214,190","250,270","243,196","246,174","282,505","299,882","307,111","335,305","353,685","386,357","398,673","432,772","455,703","450,079","441,571","463,297","455,337","415,622","388,171","368,016","423,394","407,328","442,660","446,716","449,013","450,869","452,684","470,511","487,957","492,128","487,480","489,194","483,584","489,423","505,721","496,430","512,139","518,076","521,149","522,287","525,436"
