Country,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"235,000","240,000","245,007","255,944","253,595","263,630","267,751","294,531","306,336","331,482","360,147","388,432","431,656","451,815","455,275","441,293","436,081","448,523","461,618","461,806","447,302","446,258","419,828","423,787","425,448","418,380","416,990","429,118","453,119","475,228","486,658","519,924","504,769","541,403","557,227","588,568","625,595","635,434","647,699","530,641","530,591","524,604","507,430","499,617","497,990","495,060","490,754","463,807","433,183","460,358","441,816","430,910","400,093","428,019","430,140","429,948","428,595","428,031"
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"159,200","162,600","158,500","166,200","160,600","164,000","167,900","164,600","167,400","163,000","154,600","147,200","155,400","175,900","166,200","177,500","173,600","175,900","174,000",,"65,000","85,000","121,400","177,000","183,800","180,900","181,400","186,900","194,200","191,200","214,800","219,200","218,800","203,900","175,400","156,700","145,800",,,,,,,,,,,,,,,,,,,,,,,,,,,"340,575","361,876","414,455","470,692","506,725","538,861","620,907","640,703","738,684","830,089","911,572","970,417","1,092,965","1,134,110","1,193,438","1,277,403","1,286,050","1,309,171","1,322,025","1,354,172","1,415,366","1,303,306","1,399,528","1,335,885","1,358,967","1,390,997","1,371,310","1,366,414","1,410,449","1,414,345","1,401,381","1,400,196","1,366,794","1,391,866","1,414,468","1,422,513","1,459,865","1,436,950","1,454,634","1,438,186","1,413,727","1,411,548","1,414,701","1,420,790","1,424,204","1,430,274","1,437,176","1,444,470","1,338,127","1,330,203","1,333,647","1,350,558","1,304,087","1,288,787","1,324,955","1,343,098","1,364,212","1,404,483"
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,200","95,200","95,200","95,200","95,200","104,500","107,500","129,000","134,500","131,000","148,000","148,000","152,500","161,000","174,500","210,400","225,500","253,300","296,000","289,600","312,700","294,200","300,300","317,600","320,800","329,300","315,200","311,900","373,500","258,100","277,100","265,800","274,500","293,000","211,800","238,600","237,300","149,900","150,800","204,000","207,300","182,400","204,100","211,600","228,600","237,200","255,000","260,300","276,900","301,700","287,500","281,500","247,600","246,400",,,,,,,,,,,,,,,,"268,636","270,781","272,888","274,649","276,258","278,135","280,165","282,041","283,765","285,182","286,484","305,602","302,097","329,105","334,241","347,861","376,363","397,464","453,928","515,849","513,558","516,968","518,467","510,959","528,628","548,697","540,043","492,231","449,567","444,596","436,547","414,966","430,289","413,981","411,228","432,793","463,580","479,495","521,981","550,254","571,284","586,340","602,505","620,273","658,141","633,520","581,427","606,075","564,322","585,115","434,208","439,328","440,965","458,709","468,000","466,900","487,100","486,000","477,100","484,400","488,300","472,500","462,900","464,000","463,800","470,400","479,700","468,500","487,014"
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,800","92,800","92,800","92,800","92,800","104,400","105,900","114,400","120,000","132,900","140,900","148,900","155,600","155,400","174,100","192,700","206,000","217,300","219,800","221,700","202,200","206,600","215,700","219,200","234,700","247,700","252,300","252,800","244,600","261,800","311,700","311,400","307,700","289,700","218,700","166,700","119,300","82,600","90,900","107,200","138,600","137,200","146,600","160,300","186,000","207,100","208,700","237,100","257,500","264,700","265,500","255,600","244,300","249,200","235,000","208,000",,,,,,,,,,,,,,,,,,,,,,,,,"510,000","510,000","510,000","510,000","510,000","514,991","527,226","511,929","528,690","547,022","546,826","522,437","540,270","539,368","509,595","499,239","477,945","476,945","479,639","488,098","498,929","514,621","505,993","495,282","502,412","506,671","509,124","509,515","519,798","515,538","522,932","513,624","517,107","491,522","478,143","463,549","448,570","465,625","450,554","451,980","454,472","442,504","461,618","419,215","403,063","417,539","426,867","438,142","436,621","447,027","451,559","451,585","448,728","453,860","457,323","457,867","459,690","465,712"
United Kingdom,"2,673,101","2,786,753","2,623,094","2,627,640","2,650,370","2,582,179","2,382,151","2,327,598","2,309,414","2,395,789","2,427,612","2,645,824","2,400,336","2,404,882","2,413,974","2,454,889","2,618,548","2,664,009","2,868,583","2,595,817","2,459,435","2,718,562","2,918,590","2,900,405","3,095,887","3,264,093","3,073,157","3,186,809","3,264,093","3,523,220","3,795,985","4,118,758","3,946,006","3,982,375","4,027,836","4,068,751","4,246,048","4,541,544","4,787,033","4,927,962","4,991,607","5,205,273","5,159,812","5,182,543","4,805,217","4,964,330","4,432,500","4,432,500","4,432,500","4,432,500","4,432,500","4,438,000","4,536,000","4,457,000","4,877,000","5,110,000","5,180,000","5,154,000","5,169,000","5,192,000","5,270,000","5,500,000","5,687,000","5,828,000","6,025,000","5,900,000","5,821,000","5,768,000","5,724,000","5,600,700","5,446,000","5,555,000","5,534,000","5,428,000","5,269,000","5,370,000","5,610,000","5,564,000","5,776,000","5,592,000","4,766,000","4,358,000","2,642,000","2,090,500","3,546,000","4,401,000","3,984,000","3,422,000","3,396,500","3,587,300","3,620,900","3,479,000","3,436,100","3,363,800","3,333,000","3,265,000","2,856,000","3,167,000","3,327,000","3,550,000","3,710,000","3,790,000",,,"3,154,447","3,084,578","3,256,222","3,062,889","3,171,822","3,287,822",,,,,,"4,214,067","4,236,186","4,165,834","4,120,439","4,013,142","4,059,615","4,087,914","4,111,965","3,994,166","4,202,206","4,428,123","5,230,248","5,241,869","5,297,562","5,546,978","5,550,679","5,685,625","5,787,179","5,929,826","6,196,358","6,375,904","6,605,681","6,705,339","7,072,301","7,245,325","7,388,027","7,520,989","7,417,961","7,554,249","7,694,207","7,392,935","7,068,011","6,860,768","6,948,605","6,915,630","6,866,486","6,876,076","5,633,825","5,820,104","5,867,579","5,818,094","5,831,581","5,687,912","5,454,446","5,307,283","5,447,426","5,549,917","5,550,532","5,684,364","5,590,009","5,332,352","5,448,875","5,535,422","5,623,049","5,937,586","5,796,267","5,639,209","5,431,855","5,162,858","4,964,182","4,795,506","4,685,027","4,551,587","4,535,755","4,558,745","4,545,213","4,503,854","4,536,360","4,631,586"
Other WEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117,968","114,670","123,105","124,345","132,979","137,857","144,769","157,737","171,362","182,798","197,164","209,820","216,419","224,727","233,404","231,435","239,610","245,854","249,341","263,097","249,834","263,615","256,734","266,680","272,990","293,151","299,766","308,274","309,379","316,171","318,854","315,478","308,035","319,944","318,765","325,174","327,727","316,215","327,213","334,649","332,511","321,179","313,892","336,703","334,711","338,966","348,708","353,293","359,609","367,000","373,000","379,000","385,000","391,000","391,000","391,000","391,000","391,000"
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160,000","160,000","164,218","156,954","190,643","213,735","245,568","265,321","307,188","343,639","360,929","383,948","426,669","462,981","467,134","502,258","530,532","553,828","568,319","563,194","569,675","587,163","604,761","628,770","626,290","637,230","660,214","672,052","701,858","661,435","491,269","543,472","530,555","493,810","488,072","484,009","343,928","294,201","292,744","438,072","469,433","432,542","476,934","459,373","467,676","504,513","539,752","558,741","507,921","489,901","507,919","551,898","541,151","516,185","535,038","549,339","559,531","563,267"
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,000","85,000","90,000","95,000","100,000","105,000","110,000","115,000","120,000","125,000","130,000","135,000","140,000","145,000","150,000","155,000","160,000","165,000","170,000","180,000","190,000","200,000","210,000","220,000","230,000","240,000","258,884","249,045","229,493","313,402","257,401","281,403","265,714","333,315","338,213","333,046","358,465","353,983","368,327","411,682","425,120","413,624","428,243","414,919","408,333","421,444","433,379","422,637","398,525","370,063","377,729","363,522","368,023","325,736","339,370","354,177","362,136","367,584"
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,596","5,293","9,483","24,517","15,048","12,471","11,620","14,104","33,988","37,375","41,732","46,989","50,147","57,487","64,580","69,097","79,127","74,118","78,473","86,415","98,771","102,903","114,286","92,030","109,330","112,475","117,733"
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,300","67,500","68,000","56,300","54,200","59,100","70,200","134,400","143,600","186,400","163,000","187,200","177,600","176,400","171,400","155,700","153,100","135,000","143,000","163,800","163,400","188,900","209,800","239,600","211,000","238,000","291,700","320,700","326,800","334,600","329,200","300,900","99,400",,"114,900","42,500","43,800","76,400","35,100","42,000","61,300","45,500","69,000","67,000","60,200","44,700","30,900","18,300","16,400","16,700","18,500","22,000",,,,,,,,,,,,,,,,,,,,,,,,,"433,381","440,158","460,231","476,080","497,690","523,830","564,612","582,895","619,374","681,521","692,091","661,556","713,993","779,582","848,489","902,198","955,944","1,021,489","1,023,296","1,023,110","1,059,845","1,065,199","1,054,065","1,036,733","1,097,682","1,186,029","1,195,952","1,192,176","1,198,867","1,209,223","1,151,137","1,073,371","944,122","962,241","854,761","805,848","781,772","775,517","768,866","805,776","797,408","814,727","839,276","703,820","705,230","718,580","730,180","696,990","634,590","594,360","634,380","652,090","643,570","654,590","673,920","678,780","707,442","713,305"
