"T16 Volume of wine imports, 1835 to 2016 (KL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,,Coeff. of variation,,Norway
2012,"598,962","267,858","125,943","194,400","79,225","334,287","190,240","65,395","1,526,704","17,348","72,048","381,056","200,189","188,318","1,311,300","100,779","6,522","14,579",278,"39,801",387,"54,237","489,955","47,831","555,341","84,698","27,331","376,808","1,166,946",713,"78,558","1,369","44,034","3,685","138,215","3,757","8,798","2,572",93,"2,192","328,485","394,282","50,525","4,207","257,126 ","28,083","5,703","10,779","27,924","16,820","14,906","68,125",,"10,152,119",,2,,"84,074"
2013,"532,186","255,425","152,525","60,700","78,391","335,014","202,792","64,326","1,517,600","16,600","76,137","372,258","205,057","182,812","1,204,000","98,253","5,972","12,783",274,"42,290",643,"36,487","499,303","50,705","571,117","83,002","40,892","372,716","1,096,584",869,"71,284","2,182","53,685","2,964","126,725","5,562","5,603","2,399",75,"1,957","337,390","377,541","50,122","3,878","263,244 ","32,547","6,161","9,872","29,422","16,643","15,493","73,466",,"10,039,933",,2,,"82,582"
2014,"665,867","257,452","232,399","50,521","74,826","347,510","196,576","77,070","1,558,597","16,767","77,860","409,702","155,868","188,101","1,454,681","136,116","4,937","22,424",213,"36,837",352,"34,158","649,233","40,035","585,282","86,143","40,724","384,925","1,074,631",376,"81,229","1,701","54,308","6,246","127,237","7,473","3,025","2,161",210,"2,741","371,595","383,431","52,514","3,542","270,425 ","33,252","8,099","14,641","32,888","17,024","14,242","57,276",,"10,790,212",,2,,
2015,"744,363","277,950","216,000","71,706","71,570","328,490","193,019","76,013","1,539,717","14,273","84,266","447,891","137,844","187,600","1,483,766","97,508","8,885","28,916",175,"20,219","1,011","50,726","529,872","28,935","605,449","92,083","34,490","413,439","1,103,651",524,"81,791","2,409","55,920","3,012","92,044","8,485","1,828","2,912",133,"2,208","206,724","552,088","63,390","3,449","280,071 ","36,805","10,380","17,155","30,805","18,547","13,260","42,904",,"10,613,771",,2,,
2016,"790,000","170,339","179,000","77,251","79,784","310,000","191,850","76,978","1,450,000","20,774","117,819","380,000","218,368","184,885","1,450,117","100,784","7,320","30,992",164,"21,292","1,036","50,202","400,000","43,126","602,290","87,394","37,212","415,683","1,115,727","10,845","92,138","2,792","68,148","3,078","92,384","11,282","2,115","2,691",149,"2,036","149,385","638,142","62,935","4,005","268,639 ","37,384","12,224","20,444","29,958","19,000","12,623","28,334",,"10,502,029",,2,,
2017,"750,000","207,685","152,244","80,000","79,607","328,459","190,000","74,256","1,537,905","15,767","115,980","447,128","216,599","186,201","1,371,327","100,000","8,727","25,000",234,"21,000",750,"47,793","447,237","37,855","600,000","97,948","39,564","418,681","1,300,000","80,458","90,000","2,213","71,949","3,120","95,000","9,869","10,302","2,382",150,"2,412","150,000","749,370","60,853","4,451","283,884","36,185","13,035","17,898","32,142","19,000","13,000","35,000",,"11,060,000",,2,,
2018,700000,407472,184307,100000,80000,"304,021","184,421","78,453","1,472,067","17,475","114,277","420,115","207,448","177,657","1,398,058","100,000","8,561","24,139",511,"21,000","1,909","38,805","406,800","37,788","600,000","179,895","41,784","421,811","1,151,043","2,783","90,000","3,059","79,763","3,366","95,000","10,000","10,000","2,500",150,"2,666","150,000","687,060","51,984","6,240","266,798","39,747","13,000","15,414","32,000","19,000","13,642","35,000",,"9,808,989",,2,,
2019,"720,000",,"290,000",,,"310,000",,,"1,460,000",,,"420,000","210,000",,"1,350,000",,,,,,,,"450,000",,,,,"420,000","1,230,000",,,,,,,,,,,,,"610,000",,,"280,000",,,,,,,,,"10,580,000",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
