Country,1835.0,1836.0,1837.0,1838.0,1839.0,1840.0,1841.0,1842.0,1843.0,1844.0,1845.0,1846.0,1847.0,1848.0,1849.0,1850.0,1851.0,1852.0,1853.0,1854.0,1855.0,1856.0,1857.0,1858.0,1859.0,1860.0,1861.0,1862.0,1863.0,1864.0,1865.0,1866.0,1867.0,1868.0,1869.0,1870.0,1871.0,1872.0,1873.0,1874.0,1875.0,1876.0,1877.0,1878.0,1879.0,1880.0,1881.0,1882.0,1883.0,1884.0,1885.0,1886.0,1887.0,1888.0,1889.0,1890.0,1891.0,1892.0,1893.0,1894.0,1895.0,1896.0,1897.0,1898.0,1899.0,1900.0,1901.0,1902.0,1903.0,1904.0,1905.0,1906.0,1907.0,1908.0,1909.0,1910.0,1911.0,1912.0,1913.0,1914.0,1915.0,1916.0,1917.0,1918.0,1919.0,1920.0,1921.0,1922.0,1923.0,1924.0,1925.0,1926.0,1927.0,1928.0,1929.0,1930.0,1931.0,1932.0,1933.0,1934.0,1935.0,1936.0,1937.0,1938.0,1939.0,1940.0,1941.0,1942.0,1943.0,1944.0,1945.0,1946.0,1947.0,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,985,985,985,985,0,0,0,0,0,0,0,0,0,0,0,125,94,238,225,195,86,101,39,10,20,10,20,20,50,40,20,0,10,10,0,0,0,10,200,200,200,300,300,300,100,0,0,0,0,100,0,52,50,70,70,61,87,99,86,98,"1,830","2,138","1,203","38,893","25,779",613,230,274,422,280,270,250,320,352,468,700,496,929,"1,395","3,787","5,428","7,655","5,424","4,959","4,222","3,967","3,957","4,025","4,664","6,984","6,287","7,215","10,718","30,460","24,351","13,315","16,027","19,836","19,255","17,596","10,843","19,784","17,348","16,600","16,767","14,273","20,774","15,767","17,475",0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,885","3,241","2,586","2,616","2,490","2,631","2,576","2,009","1,980","1,920","2,150","2,190","2,430","2,190","2,610","2,290","3,010","3,370","2,640",40,"2,100","3,300","2,800","2,500","1,800","2,400","2,800","2,200","1,900","2,300","2,600","2,700","2,600","2,500","1,800","2,700","3,170","3,270","3,610","3,980","4,380","3,910","5,022","4,700","4,713","4,879","5,101","5,983","7,896","5,862","6,289","7,598","8,364","9,174","10,803","10,459","11,537","9,909","10,037","11,938","12,021","13,174","13,110","7,535","13,830","14,605","15,079","12,949","14,521","18,350","16,156","26,597","29,224","31,625","41,310","43,507","48,172","52,131","55,690","64,812","51,362","57,178","72,385","48,995","62,386","70,817","70,598","72,048","76,137","77,860","84,266","117,819","115,980","114,277",0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,400","9,400","9,400","9,400","9,400","8,900","10,000","8,800","9,000","9,300","9,200","9,200","9,300","9,100","9,100","9,300","9,000","9,200","9,200","9,063","9,263","9,263","9,163","8,963","11,180","10,500","10,270","9,450","9,950","12,290","10,510","12,230","12,020","9,600","8,050","11,560","3,550","2,540","20,120","11,850","12,560","14,690","10,010","12,530","14,874","16,081","14,252","14,286","14,715","14,100","11,973","9,461","7,760","8,010","9,180","9,680","11,170","10,490","11,710","8,950","4,360","2,180","1,960",0,0,"5,100","7,400","10,700","5,500","5,400","6,500","5,900","7,000","10,100","12,500","16,300","17,000","16,600","18,700","22,600","27,257","26,890","27,486","30,730","36,398","38,380","60,453","82,015","105,270","115,592","90,190","108,907","113,703","129,757","133,063","142,018","155,048","160,426","158,995","173,088","176,767","195,383","194,189","215,093","214,825","213,436","208,738","210,312","211,965","208,848","224,589","243,249","191,510","232,247","188,308","211,002","189,470","199,896","277,200","201,365","244,920","281,686","325,884","318,844","372,021","314,112","342,598","356,705","360,901","363,833","382,905","381,056","372,258","409,702","447,891","380,000","447,128","420,115","420,000",0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,940","2,940","2,940","2,940","2,940","2,940","2,940","2,940","2,940","2,940","2,940","2,940","3,050","3,220","3,070","3,070","3,070","3,070","3,070","3,070","4,500","2,860","1,950","2,440","3,520","3,652","4,204","5,119","5,234","5,852","6,500","6,707","4,384","3,060","4,050","4,550","4,880","5,580","6,550",69,27,21,"3,300","4,890","3,840","6,390","7,900","7,600","10,100","7,000","7,700","8,800","11,400","12,600","15,200","17,900","14,400","20,900","21,400","24,300","26,600","27,483","29,498","28,416","33,571","32,046","31,723","37,099","43,346","43,271","49,234","53,082","65,583","50,938","59,729","68,217","65,976","80,932","71,111","77,496","76,678","73,800","80,536","88,669","90,807","91,399","94,872","97,151","102,396","112,350","106,779","100,993","103,730","102,674","135,967","87,376","114,387","106,027","112,107","121,445","119,168","133,596","149,573","155,999","124,471","128,660","163,735","142,321","145,653","148,520","145,167","189,539","200,189","205,057","155,868","137,844","218,368","216,599","207,448","210,000",0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125,956","124,656","123,426","122,196","120,999","119,802","118,604","114,074","111,877","109,980","107,960","107,550","107,210","111,010","116,731","90,187","122,083","141,817","128,523","25,952","131,200","147,764","196,952","110,893","206,300","63,550","128,520","142,330","154,830","168,360","136,090","144,650","168,170","125,430","105,180","80,050","114,450","94,530","137,530","144,910","134,680","114,000","107,770","140,680","145,495","145,497","120,569","123,844","116,958","116,424","115,689","119,919","137,790","114,390","86,870","81,270","92,820","95,740","99,440","97,650","109,730","104,850","98,660","54,610","80,350","129,200","85,800","92,300","83,000","95,100","98,900","97,500","96,400","104,200","106,100","113,800","136,300","139,400","117,300","124,000","128,117","140,318","152,648","144,762","155,068","158,362","164,528","168,537","178,666","189,270","196,163","210,063","241,456","229,244","215,340","203,514","203,853","207,258","214,226","232,731","270,616","264,297","221,267","226,121","233,540","212,372","217,107","192,745","195,297","182,840","179,271","171,316","175,664","174,635","187,372","184,773","184,624","187,653","188,553","180,859","186,331","183,368","183,261","179,468","180,087","175,351","185,869","183,300","189,198","192,161","188,073","188,318","182,812","188,101","187,600","184,885","186,201","177,657",0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,"41,094","42,761","36,521","38,726","45,047","42,329","35,043","32,805","30,945","39,026","38,504","35,056","36,069","34,489","36,232","42,298","40,953","30,883","50,141","49,442","40,673","43,105","46,992","26,329","37,257","56,712","50,245","54,374","64,487","70,246","64,871","69,650","70,067","77,071","78,121","80,805","82,851","89,376","98,569","82,897","83,781","90,697","88,961","74,794","68,931","79,036","74,087","71,445","70,736","68,669","66,508","66,158","69,935","67,032","72,286","73,619","76,295","78,735","66,714","65,318","72,120","75,898","79,826","82,464","79,046","76,392","75,221","74,694","66,876","56,131","57,876","59,569","59,912","53,995","56,074","62,430","57,146","55,422","56,067","52,177","50,711","58,916","47,157","59,807","114,800","90,812","57,696","55,823","60,179","80,242","80,769","81,912","84,220","62,026","69,629","62,910","66,849","56,457","66,380","66,050","73,130","79,280","81,760","72,400","78,500","68,910","11,690","4,110","4,940","5,830","17,230","38,500","50,100","52,900","39,800","42,500","53,300","41,500","47,400","54,600","61,800","65,300","73,400","69,800","80,600","95,900","100,307","93,560","108,129","122,891","122,055","123,922","142,389","165,649","169,378","158,435","196,672","234,214","320,388","296,740","266,418","273,501","318,043","328,451","410,266","351,692","409,662","405,034","445,290","509,610","537,620","558,427","605,406","614,377","626,934","639,508","619,795","638,850","653,560","741,796","639,415","701,246","841,948","857,286","896,301","887,803","994,339","1,027,038","1,133,991","1,297,578","1,315,753","1,184,626","1,178,888","1,080,247","1,102,908","1,253,093","1,321,398","1,311,300","1,204,000","1,454,681","1,483,766","1,450,117","1,371,327","1,398,058","1,350,000",0,0,0,0,0,0,0,0,0,0,0
Other WEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"8,788","11,415","10,666","9,457","15,224","14,380","14,633","12,616","13,360","12,230","13,320","13,530","11,360","11,440","16,061","9,302","11,362","3,848",557,"6,749","6,798","9,888","14,992","26,941","23,848","26,613","26,981","18,274","3,470","6,253","5,100","5,200","6,300","5,800","4,900","5,200","4,624","5,038","4,635","4,512","5,215","5,988","5,654","8,352","8,562","8,791","10,945","11,031","12,310","12,646","13,983","14,555","15,049","12,470","17,577","17,321","19,961","13,191","19,555","20,689","22,919","23,852","26,044","29,109","28,095","30,051","30,493","29,208","29,141","32,465","34,339","39,521","44,937","46,657","52,211","50,705","66,617","65,516","73,459","82,264","86,739","86,413","84,538","86,332","89,466","92,063","97,140","100,779","98,253","136,116","97,508","100,784","100,000","100,000",0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,319,319,319,319,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,333",5,"3,014",38,"2,057","25,550","10,042","6,557","7,085","15,048","15,198","13,885","28,454","21,722","32,584","15,385","5,935","8,582","18,895","18,754","10,224","6,498","1,650",124,55,"5,345","3,866","6,253","2,175","9,204","11,589","15,447","39,600","23,128","11,745","22,548","13,162","5,530","1,530","4,030","1,693",803,"4,848","22,200","16,894","6,568","5,432","8,230","6,718","6,522","5,972","4,937","8,885","7,320","8,727","8,561",0,0,0,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,442","18,702","6,562","3,364","7,263","4,742",572,"5,322","2,644","6,405","7,910","9,155","13,488","13,393","14,444","15,566","14,205","13,508","14,832","14,790","14,579","12,783","22,424","28,916","30,992","25,000","24,139",0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,"1,700",82,"1,246","1,014",619,"1,299",227,224,81,244,550,146,162,"4,634","1,200","17,218",95,88,174,278,274,213,175,164,234,511,0,0,0,0,0,0,0,0,0,0,0,0
