Quality,Country,Year,Cases
Standard,Czech Republic,1994,1000
Standard,Czech Republic,1995,2250
Standard,Czech Republic,1996,6250
Standard,Czech Republic,1997,11000
Standard,Czech Republic,1998,18250
Standard,Czech Republic,1999,17750
Standard,Czech Republic,2000,24000
Standard,Czech Republic,2001,28950
Standard,Czech Republic,2002,34000
Standard,Czech Republic,2003,38660
Standard,Czech Republic,2004,50720
Standard,Czech Republic,2005,61480
Standard,Czech Republic,2006,79150
Standard,Czech Republic,2007,101950
Standard,Czech Republic,2008,115950
Standard,Czech Republic,2009,136250
Standard,Czech Republic,2010,115000
Standard,Czech Republic,2011,135000
Standard,Czech Republic,2012,135650
Standard,Czech Republic,2013,154000
Standard,Czech Republic,2014,172500
Standard,Czech Republic,2015,182500
Standard,Czech Republic,2016,197500
Standard,Canada,1990,21850
Standard,Canada,1991,22250
Standard,Canada,1992,21000
Standard,Canada,1993,20350
Standard,Canada,1994,21100
Standard,Canada,1995,21250
Standard,Canada,1996,23000
Standard,Canada,1997,21400
Standard,Canada,1998,22100
Standard,Canada,1999,23850
Standard,Canada,2000,25750
Standard,Canada,2001,27500
Standard,Canada,2002,30500
Standard,Canada,2003,32150
Standard,Canada,2004,35000
Standard,Canada,2005,38000
Standard,Canada,2006,40500
Standard,Canada,2007,45100
Standard,Canada,2008,50250
Standard,Canada,2009,57000
Standard,Canada,2010,65750
Standard,Canada,2011,80500
Standard,Canada,2012,108000
Standard,Canada,2013,116000
Standard,Canada,2014,140000
Standard,Canada,2015,162750
Standard,Canada,2016,182000
Standard,Bulgaria,1990,0
Standard,Bulgaria,1991,0
Standard,Bulgaria,1992,250
Standard,Bulgaria,1993,250
Standard,Bulgaria,1994,500
Standard,Bulgaria,1995,500
Standard,Bulgaria,1996,500
Standard,Bulgaria,1997,500
Standard,Bulgaria,1998,2750
Standard,Bulgaria,1999,9000
Standard,Bulgaria,2000,17750
Standard,Bulgaria,2001,24910
Standard,Bulgaria,2002,37150
Standard,Bulgaria,2003,43100
Standard,Bulgaria,2004,48250
Standard,Bulgaria,2005,49950
Standard,Bulgaria,2006,61150
Standard,Bulgaria,2007,89900
Standard,Bulgaria,2008,121700
Standard,Bulgaria,2009,117100
Standard,Bulgaria,2010,131100
Standard,Bulgaria,2011,143100
Standard,Bulgaria,2012,145600
Standard,Bulgaria,2013,149900
Standard,Bulgaria,2014,161000
Standard,Bulgaria,2015,158500
Standard,Bulgaria,2016,169200
Standard,Australia,1990,9000
Standard,Australia,1991,8000
Standard,Australia,1992,9500
Standard,Australia,1993,11500
Standard,Australia,1994,18500
Standard,Australia,1995,24000
Standard,Australia,1996,33750
Standard,Australia,1997,37250
Standard,Australia,1998,42200
Standard,Australia,1999,44000
Standard,Australia,2000,46000
Standard,Australia,2001,47000
Standard,Australia,2002,48500
Standard,Australia,2003,55500
Standard,Australia,2004,59750
Standard,Australia,2005,60750
Standard,Australia,2006,64250
Standard,Australia,2007,63000
Standard,Australia,2008,59500
Standard,Australia,2009,68100
Standard,Australia,2010,72250
Standard,Australia,2011,80750
Standard,Australia,2012,84150
Standard,Australia,2013,91350
Standard,Australia,2014,103350
Standard,Australia,2015,107250
Standard,Australia,2016,114000
Standard,Sweden,1990,13300
Standard,Sweden,1991,14500
Standard,Sweden,1992,17400
Standard,Sweden,1993,22900
Standard,Sweden,1994,27400
Standard,Sweden,1995,31000
Standard,Sweden,1996,34400
Standard,Sweden,1997,34050
Standard,Sweden,1998,39000
Standard,Sweden,1999,44500
Standard,Sweden,2000,49500
Standard,Sweden,2001,51600
Standard,Sweden,2002,51880
Standard,Sweden,2003,54600
Standard,Sweden,2004,47050
Standard,Sweden,2005,46300
Standard,Sweden,2006,50950
Standard,Sweden,2007,59300
Standard,Sweden,2008,65450
Standard,Sweden,2009,80930
Standard,Sweden,2010,84400
Standard,Sweden,2011,87250
Standard,Sweden,2012,97400
Standard,Sweden,2013,97500
Standard,Sweden,2014,95000
Standard,Sweden,2015,97000
Standard,Sweden,2016,100000
Standard,Poland,1990,250
Standard,Poland,1991,0
Standard,Poland,1992,250
Standard,Poland,1993,250
Standard,Poland,1994,800
Standard,Poland,1995,1000
Standard,Poland,1996,1000
Standard,Poland,1997,1250
Standard,Poland,1998,1900
Standard,Poland,1999,3250
Standard,Poland,2000,3750
Standard,Poland,2001,3750
Standard,Poland,2002,3900
Standard,Poland,2003,4700
Standard,Poland,2004,8000
Standard,Poland,2005,10250
Standard,Poland,2006,14000
Standard,Poland,2007,22400
Standard,Poland,2008,27200
Standard,Poland,2009,28100
Standard,Poland,2010,32250
Standard,Poland,2011,37000
Standard,Poland,2012,39550
Standard,Poland,2013,51250
Standard,Poland,2014,67500
Standard,Poland,2015,77900
Standard,Poland,2016,96750
Standard,Portugal,1990,1750
Standard,Portugal,1991,2400
Standard,Portugal,1992,2500
Standard,Portugal,1993,2900
Standard,Portugal,1994,3800
Standard,Portugal,1995,4200
Standard,Portugal,1996,8650
Standard,Portugal,1997,14550
Standard,Portugal,1998,21200
Standard,Portugal,1999,27000
Standard,Portugal,2000,32550
Standard,Portugal,2001,40750
Standard,Portugal,2002,44850
Standard,Portugal,2003,53200
Standard,Portugal,2004,59100
Standard,Portugal,2005,62250
Standard,Portugal,2006,63750
Standard,Portugal,2007,75750
Standard,Portugal,2008,81750
Standard,Portugal,2009,81500
Standard,Portugal,2010,91450
Standard,Portugal,2011,96200
Standard,Portugal,2012,91850
Standard,Portugal,2013,95300
Standard,Portugal,2014,93100
Standard,Portugal,2015,103050
Standard,Portugal,2016,95150
Standard,Slovakia,1990,0
Standard,Slovakia,1991,0
Standard,Slovakia,1992,0
Standard,Slovakia,1993,0
Standard,Slovakia,1994,0
Standard,Slovakia,1995,250
Standard,Slovakia,1996,750
Standard,Slovakia,1997,1750
Standard,Slovakia,1998,750
Standard,Slovakia,1999,1600
Standard,Slovakia,2000,1650
Standard,Slovakia,2001,2000
Standard,Slovakia,2002,2650
Standard,Slovakia,2003,3850
Standard,Slovakia,2004,5100
Standard,Slovakia,2005,5250
Standard,Slovakia,2006,5750
Standard,Slovakia,2007,6750
Standard,Slovakia,2008,7500
Standard,Slovakia,2009,10880
Standard,Slovakia,2010,12650
Standard,Slovakia,2011,18550
Standard,Slovakia,2012,27150
Standard,Slovakia,2013,34250
Standard,Slovakia,2014,46150
Standard,Slovakia,2015,61250
Standard,Slovakia,2016,75500
Standard,DF Nordic Countries - (All Countries),1990,19000
Standard,DF Nordic Countries - (All Countries),1991,28000
Standard,DF Nordic Countries - (All Countries),1992,29500
Standard,DF Nordic Countries - (All Countries),1993,31500
Standard,DF Nordic Countries - (All Countries),1994,31750
Standard,DF Nordic Countries - (All Countries),1995,33500
Standard,DF Nordic Countries - (All Countries),1996,34250
Standard,DF Nordic Countries - (All Countries),1997,29000
Standard,DF Nordic Countries - (All Countries),1998,38250
Standard,DF Nordic Countries - (All Countries),1999,40000
Standard,DF Nordic Countries - (All Countries),2000,26350
Standard,DF Nordic Countries - (All Countries),2001,32700
Standard,DF Nordic Countries - (All Countries),2002,28250
Standard,DF Nordic Countries - (All Countries),2003,27500
Standard,DF Nordic Countries - (All Countries),2004,28200
Standard,DF Nordic Countries - (All Countries),2005,29800
Standard,DF Nordic Countries - (All Countries),2006,32850
Standard,DF Nordic Countries - (All Countries),2007,44050
Standard,DF Nordic Countries - (All Countries),2008,56075
Standard,DF Nordic Countries - (All Countries),2009,52250
Standard,DF Nordic Countries - (All Countries),2010,57000
Standard,DF Nordic Countries - (All Countries),2011,70675
Standard,DF Nordic Countries - (All Countries),2012,72475
Standard,DF Nordic Countries - (All Countries),2013,75600
Standard,DF Nordic Countries - (All Countries),2014,76390
Standard,DF Nordic Countries - (All Countries),2015,69750
Standard,DF Nordic Countries - (All Countries),2016,72925
Standard,Denmark,1990,6800
Standard,Denmark,1991,6300
Standard,Denmark,1992,6000
Standard,Denmark,1993,6000
Standard,Denmark,1994,6750
Standard,Denmark,1995,7000
Standard,Denmark,1996,9500
Standard,Denmark,1997,9950
Standard,Denmark,1998,13000
Standard,Denmark,1999,14700
Standard,Denmark,2000,16000
Standard,Denmark,2001,18350
Standard,Denmark,2002,20000
Standard,Denmark,2003,27000
Standard,Denmark,2004,34300
Standard,Denmark,2005,37500
Standard,Denmark,2006,43000
Standard,Denmark,2007,45900
Standard,Denmark,2008,46300
Standard,Denmark,2009,49750
Standard,Denmark,2010,53000
Standard,Denmark,2011,48600
Standard,Denmark,2012,49670
Standard,Denmark,2013,49050
Standard,Denmark,2014,48230
Standard,Denmark,2015,62000
Standard,Denmark,2016,64400
Standard,Netherlands,1990,29000
Standard,Netherlands,1991,31000
Standard,Netherlands,1992,32600
Standard,Netherlands,1993,33100
Standard,Netherlands,1994,32600
Standard,Netherlands,1995,38400
Standard,Netherlands,1996,41500
Standard,Netherlands,1997,45600
Standard,Netherlands,1998,51150
Standard,Netherlands,1999,55150
Standard,Netherlands,2000,60000
Standard,Netherlands,2001,62600
Standard,Netherlands,2002,65500
Standard,Netherlands,2003,60250
Standard,Netherlands,2004,59500
Standard,Netherlands,2005,60000
Standard,Netherlands,2006,60000
Standard,Netherlands,2007,60500
Standard,Netherlands,2008,65750
Standard,Netherlands,2009,63750
Standard,Netherlands,2010,68450
Standard,Netherlands,2011,67700
Standard,Netherlands,2012,69850
Standard,Netherlands,2013,64100
Standard,Netherlands,2014,63000
Standard,Netherlands,2015,60700
Standard,Netherlands,2016,62250
Standard,Latvia,1990,0
Standard,Latvia,1991,0
Standard,Latvia,1992,0
Standard,Latvia,1993,250
Standard,Latvia,1994,500
Standard,Latvia,1995,750
Standard,Latvia,1996,1250
Standard,Latvia,1997,2500
Standard,Latvia,1998,4000
Standard,Latvia,1999,7250
Standard,Latvia,2000,6750
Standard,Latvia,2001,7000
Standard,Latvia,2002,6330
Standard,Latvia,2003,12450
Standard,Latvia,2004,15850
Standard,Latvia,2005,23750
Standard,Latvia,2006,33600
Standard,Latvia,2007,54250
Standard,Latvia,2008,60250
Standard,Latvia,2009,30450
Standard,Latvia,2010,34400
Standard,Latvia,2011,38900
Standard,Latvia,2012,43940
Standard,Latvia,2013,56000
Standard,Latvia,2014,58420
Standard,Latvia,2015,60170
Standard,Latvia,2016,60750
Standard,Greece,1990,5000
Standard,Greece,1991,6000
Standard,Greece,1992,9000
Standard,Greece,1993,14000
Standard,Greece,1994,17000
Standard,Greece,1995,20000
Standard,Greece,1996,29000
Standard,Greece,1997,34000
Standard,Greece,1998,35500
Standard,Greece,1999,39250
Standard,Greece,2000,43500
Standard,Greece,2001,44250
Standard,Greece,2002,46000
Standard,Greece,2003,45500
Standard,Greece,2004,45750
Standard,Greece,2005,45750
Standard,Greece,2006,45500
Standard,Greece,2007,46250
Standard,Greece,2008,44500
Standard,Greece,2009,43100
Standard,Greece,2010,37250
Standard,Greece,2011,36500
Standard,Greece,2012,38500
Standard,Greece,2013,44250
Standard,Greece,2014,47750
Standard,Greece,2015,51900
Standard,Greece,2016,60500
Standard,DF Russia,1990,0
Standard,DF Russia,1991,0
Standard,DF Russia,1992,0
Standard,DF Russia,1993,0
Standard,DF Russia,1994,0
Standard,DF Russia,1995,0
Standard,DF Russia,1996,0
Standard,DF Russia,1997,0
Standard,DF Russia,1998,0
Standard,DF Russia,1999,0
Standard,DF Russia,2000,0
Standard,DF Russia,2001,3750
Standard,DF Russia,2002,6250
Standard,DF Russia,2003,8750
Standard,DF Russia,2004,8750
Standard,DF Russia,2005,10525
Standard,DF Russia,2006,11750
Standard,DF Russia,2007,27800
Standard,DF Russia,2008,37925
Standard,DF Russia,2009,45600
Standard,DF Russia,2010,54300
Standard,DF Russia,2011,85525
Standard,DF Russia,2012,103250
Standard,DF Russia,2013,119250
Standard,DF Russia,2014,93825
Standard,DF Russia,2015,60235
Standard,DF Russia,2016,58590
Standard,Ukraine,1990,0
Standard,Ukraine,1991,0
Standard,Ukraine,1992,0
